Product ID1,Product ID2,Category,Product Name,Price,Details,On Promo,Original Price,Promo Date
p18065,82846,Super Savers,Celery,€ 0.49,,Yes,Was 79c,From 02.12
p18067,83331,Super Savers,Yellow Onions,€ 0.49,,Yes,Was 59c,From 02.12
p18063,82825,Super Savers,Beetroot,€ 0.49,,Yes,Was 55c,From 02.12
p18061,249494,Super Savers,Deluxe 2 Irish Angus Fillet Steaks,€ 8.99,,Yes,Was €10.99,From 02.12
p18062,8788,Super Savers,Organic Fairtrade Bananas,€ 0.49,,Yes,Was €1.59,From 02.12
p18066,82961,Super Savers,Savoy Cabbage,€ 0.49,,Yes,Was 99c,From 02.12
p17898,247865,Super Savers,Lighthouse Bay 2 Battered Haddock Fillet,€ 2.99,,Yes,Was €3.49,From 25.11
p18064,82741,Super Savers,Turnip,€ 0.49,,Yes,Was 79c,From 02.12
p4627,238932,Christmas Drinks,Deluxe Salted Caramel Irish Cream Liqueur 15%,€ 9.99,,No,,
p1265,224589,Grocery Range Deluxe,Deluxe 2 Duck Breast Fillets,€ 5.99,,No,,
p2270,215893,Christmas Drinks,Deluxe Chocolate Cream Liqueur 15%,€ 9.99,,No,,
p5410,249494,Grocery Range Beef,Irish Angus Fillet Steaks,€ 10.99,Deluxe,No,,
p5404,249010,Grocery Range Beef,Irish Angus Striploin Steaks,€ 7.99,Deluxe,No,,
p16059,,Christmas Drinks,Wild Burrow Irish Craft Gin with Lights 40%,€ 24.99,,Yes,,From 01.11
p3881,230521,Grocery Range Deluxe,Deluxe Irish Roast Chicken Breast,€ 2.59,,No,,
p5441,241374,Grocery Range Beef,Angus Eye of Round Roasting Joint,€ 11.99,Deluxe,No,,
p5407,249006,Grocery Range Beef,Irish Angus Diced Beef Steak,€ 3.79,Deluxe,No,,
p4627,238932,Christmas Drinks,Deluxe Salted Caramel Irish Cream Liqueur 15%,€ 9.99,,No,,
p5446,241375,Grocery Range Beef,Irish Angus Rib Roast on the Bone,€ 13.99,Deluxe,No,,
p16062,236192,Christmas Drinks,Espresso Martini 19%,€ 9.99,,Yes,,From 08.11
p4430,241373,Grocery Range Beef,Irish Angus Round Roast Beef Joint,€ 11.49,Deluxe,No,,
p7918,251555,Grocery Range Beef,Irish Angus Roasting Joint,€ 11.99,Deluxe,No,,
p2270,215893,Christmas Drinks,Deluxe Chocolate Cream Liqueur 15%,€ 9.99,,No,,
p7513,245768,Grocery Range Beef,Irish Angus Beef Burgers,€ 2.39,Deluxe,No,,
p5414,249007,Grocery Range Beef,Angus Lean Beef Steak Mince,€ 3.29,Deluxe,No,,
p16084,240640,Christmas Drinks,Wild Burrow Irish Craft Small Batch Gin Gift Box 40%,€ 24.99,,Yes,,From 04.10
p2857,,Christmas Drinks,Tio Nico Sherry Cream 17%,€ 7.89,,No,,
p3369,209864,Christmas Drinks,Blended Malt Scotch Whiskey 42%,€ 20.99,,No,,
p5411,249493,Grocery Range Beef,Irish Angus Rib Eye Steaks,€ 8.99,Deluxe,No,,
p7723,245242,Grocery Range Gins,Premium Gin & Rhubarb Ginger 5%,€ 1.99,Hortus,No,,
p15923,250759,Christmas Drinks,Marlborough Pinot Noir,€ 5.99,Winemaker's Selection,No,,
p5705,249009,Grocery Range Beef,Angus Striploin Steak,€ 7.49,Deluxe,No,,
p7200,209751,Grocery Range Whiskey,Bushmills Irish Whiskey 40%,€ 23.00,,No,,
p9901,254411,Grocery Range Craft Beer,Punk AF 0.5%,€ 7.00,,No,,
p16058,250883,Christmas Drinks,12 Beers of Christmas Gift Box,€ 24.99,,Yes,,From 29.11
p16082,,Christmas Drinks,Single Malt Whiskey Miniature Gift Pack,€ 10.00,,Yes,,From 29.11
p17222,210185,Christmas Drinks,Deluxe Non Alcoholic Mulled Punch,€ 1.89,,No,,
p5707,249492,Grocery Range Beef,Angus Rib Eye Steak,€ 7.99,Deluxe,No,,
p9419,208188,Christmas Drinks,Baileys Original Irish Cream Liquer 17%,€ 17.00,,Yes,,From 15.11
p11188,223094,Christmas Drinks,Italian Prosecco Cans 10%,€ 1.99,Allini,No,,
p7198,209744,Grocery Range Gins,Gordon's London Dry Gin 37.5%,€ 22.00,,No,,
p7731,238895,Grocery Range Vodka,Woo Woo Cocktail 5%,€ 1.49,Sunrise,No,,
p4119,210376,Christmas Drinks,Smirnoff Vodka 37.5%,€ 21.00,,No,,
p7096,213090,Christmas Drinks,Captain Morgan Original Spiced Rum 35%,€ 22.00,,No,,
p3661,202073,Grocery Range Red Wines,Saint Emilion Gran Cru AOC 12.5%,€ 14.99,,No,,
p10757,254792,Grocery Range Craft Beer,Phantom Hazy IPA 4%,€ 9.99,The White Hag,No,,
p15895,252055,Christmas Drinks,Carlsberg Alcohol Free Lager 0%,€ 4.99,,No,,
p9902,254193,Grocery Range Craft Beer,Hazy Session IPA 4.6%,€ 10.00,Sierra Nevada,No,,
p9897,254414,Grocery Range Craft Beer,Punk IPA 5.4%,€ 10.00,Brewdog,No,,
p7737,238891,Grocery Range Gins,Pink Gin & Tonic 5%,€ 1.49,Finton's,No,,
p4881,225994,Gin Festival,Rhubarb & Ginger Gin 20%,€ 14.99,Hortus,No,,
p2901,215222,Grocery Range Craft Beer,American Style Pale Wheat Ale 5%,€ 1.99,The Crafty Brewing Company,No,,
p2873,224688,Grocery Range Craft Beer,Belgian Style Saison 4.8%,€ 1.99,The Crafty Brewing Company,No,,
p7723,245242,Grocery Range Gins,Premium Gin & Rhubarb Ginger 5%,€ 1.99,Hortus,No,,
p9881,254413,Grocery Range Craft Beer,Elvis Juice IPA 5.1%,€ 12.00,Brewdog,No,,
p10764,254790,Grocery Range Craft Beer,Little Fawn Session IPA 4.2%,€ 9.99,The White Hag,No,,
p4689,214330,Grocery Range Gins,Gin & Tonic 5%,€ 1.49,Finton's,No,,
p9886,254195,Grocery Range Craft Beer,Renegade New England IPA 5.3%,€ 2.79,Porterhouse,No,,
p2834,212003,Grocery Range Craft Beer,Irish Craft Stout 4.5%,€ 1.99,The Crafty Brewing Company,No,,
p2830,211982,Grocery Range Craft Beer,Red Ale 4.1%,€ 1.99,The Crafty Brewing Company,No,,
p3042,202344,Grocery Range Red Wines,Chilean Merlot 13%,€ 5.99,Cimarosa,No,,
p2858,204402,Grocery Range Red Wines,Rioja Crianza DOC 13.5%,€ 7.99,Cepa Lebrel,No,,
p9894,254189,Grocery Range Craft Beer,Pilgrims Session Ale 4%,€ 10.00,Franciscan Well,No,,
p9901,254411,Grocery Range Craft Beer,Punk AF 0.5%,€ 7.00,,No,,
p3261,211169,Grocery Range Red Wines,Spanish Red Wine 11%,€ 3.99,,No,,
p9893,254196,Grocery Range Craft Beer,Rambler Pale Ale 4.6%,€ 2.79,Porterhouse,No,,
p2895,212007,Grocery Range Craft Beer,India Pale Ale 6%,€ 1.99,The Crafty Brewing Company,No,,
p14422,211307,Grocery Range Red Wines,Rioja Doca Reserva,€ 8.49,Cepa Lebrel,No,,
p3747,200645,Grocery Range Red Wines,Chianti DOCG 11%,€ 6.99,,No,,
p5839,236194,Gin Festival,Premium Pink Gin 40%,€ 19.99,Hortus,Yes,,From 27.05
